"num_samples","replay_buffer_size: 50000 (Replay size: partner OBL5) - _step","replay_buffer_size: 50000 (Replay size: partner OBL5) - _step__MIN","replay_buffer_size: 50000 (Replay size: partner OBL5) - _step__MAX","replay_buffer_size: 50000 (Replay size: partner OBL5) - score","replay_buffer_size: 50000 (Replay size: partner OBL5) - score__MIN","replay_buffer_size: 50000 (Replay size: partner OBL5) - score__MAX","replay_buffer_size: 100000 (Replay size: partner OBL5) - _step","replay_buffer_size: 100000 (Replay size: partner OBL5) - _step__MIN","replay_buffer_size: 100000 (Replay size: partner OBL5) - _step__MAX","replay_buffer_size: 100000 (Replay size: partner OBL5) - score","replay_buffer_size: 100000 (Replay size: partner OBL5) - score__MIN","replay_buffer_size: 100000 (Replay size: partner OBL5) - score__MAX","replay_buffer_size: 150000 (Replay size: partner OBL5) - _step","replay_buffer_size: 150000 (Replay size: partner OBL5) - _step__MIN","replay_buffer_size: 150000 (Replay size: partner OBL5) - _step__MAX","replay_buffer_size: 150000 (Replay size: partner OBL5) - score","replay_buffer_size: 150000 (Replay size: partner OBL5) - score__MIN","replay_buffer_size: 150000 (Replay size: partner OBL5) - score__MAX","replay_buffer_size: 200000 (Replay size: partner OBL5) - _step","replay_buffer_size: 200000 (Replay size: partner OBL5) - _step__MIN","replay_buffer_size: 200000 (Replay size: partner OBL5) - _step__MAX","replay_buffer_size: 200000 (Replay size: partner OBL5) - score","replay_buffer_size: 200000 (Replay size: partner OBL5) - score__MIN","replay_buffer_size: 200000 (Replay size: partner OBL5) - score__MAX"
"2007520","","","","","","","153","153","153","21.881","21.881","21.881","","","","","","","","","","","",""
"2008087","152","152","152","22.02","22.02","22.02","","","","","","","","","","","","","","","","","",""
"2008412","","","","","","","151","151","151","21.918","21.918","21.918","","","","","","","","","","","",""
"2010237","","","","","","","152","152","152","21.84","21.84","21.84","","","","","","","","","","","",""
"2010950","","","","","","","","","","","","","154","154","154","22.032","22.032","22.032","","","","","",""
"2011071","","","","","","","150","150","150","22.117","22.117","22.117","","","","","","","","","","","",""
"2011740","","","","","","","147","147","147","21.637","21.637","21.637","","","","","","","","","","","",""
"2012324","","","","","","","208","208","208","21.87","21.87","21.87","","","","","","","","","","","",""
"2013886","","","","","","","150","150","150","21.892","21.892","21.892","","","","","","","","","","","",""
"2014416","","","","","","","","","","","","","152","152","152","21.597","21.597","21.597","","","","","",""
"2014782","156","156","156","21.772","21.772","21.772","","","","","","","","","","","","","","","","","",""
"2017213","","","","","","","","","","","","","","","","","","","183","183","183","21.936","21.936","21.936"
"2017636","145","145","145","22.053","22.053","22.053","","","","","","","","","","","","","","","","","",""
"2018370","","","","","","","","","","","","","157","157","157","21.956","21.956","21.956","","","","","",""
"2018728","","","","","","","153","153","153","22.023","22.023","22.023","","","","","","","","","","","",""
"2020906","","","","","","","154","154","154","22.151","22.151","22.151","","","","","","","","","","","",""
"2021882","","","","","","","152","152","152","22.103","22.103","22.103","","","","","","","","","","","",""
"2021975","153","153","153","21.813","21.813","21.813","","","","","","","","","","","","","","","","","",""
"2022510","","","","","","","209","209","209","22.012","22.012","22.012","","","","","","","","","","","",""
"2023871","","","","","","","153","153","153","22.196","22.196","22.196","","","","","","","","","","","",""
"2024436","","","","","","","","","","","","","155","155","155","22.164","22.164","22.164","","","","","",""
"2024834","","","","","","","151","151","151","22.066","22.066","22.066","","","","","","","","","","","",""
"2025549","","","","","","","148","148","148","21.979","21.979","21.979","","","","","","","","","","","",""
"2027537","","","","","","","151","151","151","22.019","22.019","22.019","","","","","","","","","","","",""
"2027682","","","","","","","","","","","","","153","153","153","21.986","21.986","21.986","","","","","",""
"2027760","157","157","157","21.929","21.929","21.929","","","","","","","","","","","","","","","","","",""
"2028127","","","","","","","","","","","","","","","","","","","184","184","184","22.084","22.084","22.084"
"2031363","","","","","","","154","154","154","22.167","22.167","22.167","","","","","","","","","","","",""
"2031508","146","146","146","22.21","22.21","22.21","","","","","","","","","","","","","","","","","",""
"2031999","","","","","","","","","","","","","158","158","158","22.001","22.001","22.001","","","","","",""
"2032141","","","","","","","210","210","210","21.667","21.667","21.667","","","","","","","","","","","",""
"2033803","","","","","","","155","155","155","22.18","22.18","22.18","","","","","","","","","","","",""
"2035422","154","154","154","22.34","22.34","22.34","","","","","","","","","","","","","","","","","",""
"2035791","","","","","","","153","153","153","22","22","22","","","","","","","","","","","",""
"2037613","","","","","","","154","154","154","22.142","22.142","22.142","","","","","","","","","","","",""
"2038703","","","","","","","","","","","","","156","156","156","21.924","21.924","21.924","","","","","",""
"2038995","","","","","","","152","152","152","22.068","22.068","22.068","","","","","","","","","","","",""
"2039166","","","","","","","149","149","149","22.159","22.159","22.159","","","","","","","","","","","",""
"2039348","","","","","","","","","","","","","","","","","","","185","185","185","21.856","21.856","21.856"
"2039984","158","158","158","22.106","22.106","22.106","","","","","","","","","","","","","","","","","",""
"2041221","","","","","","","","","","","","","154","154","154","21.844","21.844","21.844","","","","","",""
"2041422","","","","","","","152","152","152","22.003","22.003","22.003","","","","","","","","","","","",""
"2042070","","","","","","","211","211","211","21.963","21.963","21.963","","","","","","","","","","","",""
"2044779","","","","","","","155","155","155","22.213","22.213","22.213","","","","","","","","","","","",""
"2045523","","","","","","","","","","","","","159","159","159","22.126","22.126","22.126","","","","","",""
"2045583","147","147","147","22.019","22.019","22.019","","","","","","","","","","","","","","","","","",""
"2047113","","","","","","","156","156","156","21.942","21.942","21.942","","","","","","","","","","","",""
"2048626","155","155","155","22.13","22.13","22.13","","","","","","","","","","","","","","","","","",""
"2049338","","","","","","","154","154","154","22.078","22.078","22.078","","","","","","","","","","","",""
"2049681","","","","","","","","","","","","","","","","","","","186","186","186","21.931","21.931","21.931"
"2051003","","","","","","","155","155","155","22.024","22.024","22.024","","","","","","","","","","","",""
"2051757","","","","","","","212","212","212","21.812","21.812","21.812","","","","","","","","","","","",""
"2051910","","","","","","","","","","","","","157","157","157","22.159","22.159","22.159","","","","","",""
"2052921","","","","","","","153","153","153","22.131","22.131","22.131","","","","","","","","","","","",""
"2053149","159","159","159","21.77","21.77","21.77","","","","","","","","","","","","","","","","","",""
"2053567","","","","","","","150","150","150","22.072","22.072","22.072","","","","","","","","","","","",""
"2054660","","","","","","","","","","","","","155","155","155","21.721","21.721","21.721","","","","","",""
"2055226","","","","","","","153","153","153","21.85","21.85","21.85","","","","","","","","","","","",""
"2058266","","","","","","","156","156","156","22.026","22.026","22.026","","","","","","","","","","","",""
"2059320","148","148","148","22.196","22.196","22.196","","","","","","","","","","","","","","","","","",""
"2059575","","","","","","","","","","","","","160","160","160","22.104","22.104","22.104","","","","","",""
"2060375","","","","","","","157","157","157","21.925","21.925","21.925","","","","","","","","","","","",""
"2060627","","","","","","","","","","","","","","","","","","","187","187","187","22.167","22.167","22.167"
"2061546","","","","","","","213","213","213","22.023","22.023","22.023","","","","","","","","","","","",""
"2062141","156","156","156","21.967","21.967","21.967","","","","","","","","","","","","","","","","","",""
"2063752","","","","","","","155","155","155","22.183","22.183","22.183","","","","","","","","","","","",""
"2064518","","","","","","","156","156","156","21.847","21.847","21.847","","","","","","","","","","","",""
"2065237","","","","","","","","","","","","","158","158","158","22.192","22.192","22.192","","","","","",""
"2065761","160","160","160","21.81","21.81","21.81","","","","","","","","","","","","","","","","","",""
"2066439","","","","","","","154","154","154","22.135","22.135","22.135","","","","","","","","","","","",""
"2067886","","","","","","","151","151","151","21.863","21.863","21.863","","","","","","","","","","","",""
"2068772","","","","","","","","","","","","","156","156","156","22.164","22.164","22.164","","","","","",""
"2069202","","","","","","","154","154","154","22.375","22.375","22.375","","","","","","","","","","","",""
"2071603","","","","","","","214","214","214","22.047","22.047","22.047","","","","","","","","","","","",""
"2071824","","","","","","","","","","","","","","","","","","","188","188","188","21.997","21.997","21.997"
"2071869","","","","","","","157","157","157","21.872","21.872","21.872","","","","","","","","","","","",""
"2073173","149","149","149","22.301","22.301","22.301","","","","","","","","","","","","","","","","","",""
"2073226","","","","","","","","","","","","","161","161","161","22.092","22.092","22.092","","","","","",""
"2074148","","","","","","","158","158","158","22.083","22.083","22.083","","","","","","","","","","","",""
"2076222","157","157","157","21.923","21.923","21.923","","","","","","","","","","","","","","","","","",""
"2077372","","","","","","","156","156","156","22.229","22.229","22.229","","","","","","","","","","","",""
"2077897","","","","","","","157","157","157","21.921","21.921","21.921","","","","","","","","","","","",""
"2078398","","","","","","","","","","","","","159","159","159","22.091","22.091","22.091","","","","","",""
"2079066","161","161","161","22.097","22.097","22.097","","","","","","","","","","","","","","","","","",""
"2079777","","","","","","","155","155","155","22.129","22.129","22.129","","","","","","","","","","","",""
"2081429","","","","","","","215","215","215","22.077","22.077","22.077","","","","","","","","","","","",""
"2082189","","","","","","","152","152","152","21.918","21.918","21.918","","","","","","","","","","","",""
"2082343","","","","","","","","","","","","","157","157","157","22.059","22.059","22.059","","","","","",""
"2082442","","","","","","","","","","","","","","","","","","","189","189","189","22.001","22.001","22.001"
"2083012","","","","","","","155","155","155","21.897","21.897","21.897","","","","","","","","","","","",""
"2085158","","","","","","","158","158","158","22.108","22.108","22.108","","","","","","","","","","","",""
"2086801","","","","","","","","","","","","","162","162","162","22.167","22.167","22.167","","","","","",""
"2086883","150","150","150","22.179","22.179","22.179","","","","","","","","","","","","","","","","","",""
"2087190","","","","","","","159","159","159","22.101","22.101","22.101","","","","","","","","","","","",""
"2089681","158","158","158","22.153","22.153","22.153","","","","","","","","","","","","","","","","","",""
"2090969","","","","","","","157","157","157","22.051","22.051","22.051","","","","","","","","","","","",""
"2091214","","","","","","","216","216","216","21.716","21.716","21.716","","","","","","","","","","","",""
"2091235","","","","","","","158","158","158","22.049","22.049","22.049","","","","","","","","","","","",""
"2091605","","","","","","","","","","","","","160","160","160","22.063","22.063","22.063","","","","","",""
"2092286","162","162","162","22.272","22.272","22.272","","","","","","","","","","","","","","","","","",""
"2093123","","","","","","","","","","","","","","","","","","","190","190","190","22.244","22.244","22.244"
"2093795","","","","","","","156","156","156","21.831","21.831","21.831","","","","","","","","","","","",""
"2096009","","","","","","","","","","","","","158","158","158","22.315","22.315","22.315","","","","","",""
"2096139","","","","","","","153","153","153","22.021","22.021","22.021","","","","","","","","","","","",""
"2096219","","","","","","","156","156","156","21.95","21.95","21.95","","","","","","","","","","","",""
"2098687","","","","","","","159","159","159","21.85","21.85","21.85","","","","","","","","","","","",""
"2100520","","","","","","","","","","","","","163","163","163","21.963","21.963","21.963","","","","","",""
"2100530","","","","","","","160","160","160","22.25","22.25","22.25","","","","","","","","","","","",""
"2100731","151","151","151","22.266","22.266","22.266","","","","","","","","","","","","","","","","","",""
"2101203","","","","","","","217","217","217","21.857","21.857","21.857","","","","","","","","","","","",""
"2102962","159","159","159","22.165","22.165","22.165","","","","","","","","","","","","","","","","","",""
"2103776","","","","","","","","","","","","","","","","","","","191","191","191","22.198","22.198","22.198"
"2104806","","","","","","","159","159","159","22.216","22.216","22.216","","","","","","","","","","","",""
"2104955","","","","","","","","","","","","","161","161","161","22.207","22.207","22.207","","","","","",""
"2105306","","","","","","","158","158","158","22.223","22.223","22.223","","","","","","","","","","","",""
"2105466","163","163","163","21.815","21.815","21.815","","","","","","","","","","","","","","","","","",""
"2107607","","","","","","","157","157","157","21.816","21.816","21.816","","","","","","","","","","","",""
"2109604","","","","","","","157","157","157","21.895","21.895","21.895","","","","","","","","","","","",""
"2109792","","","","","","","","","","","","","159","159","159","22.276","22.276","22.276","","","","","",""
"2109997","","","","","","","154","154","154","21.929","21.929","21.929","","","","","","","","","","","",""
"2111365","","","","","","","218","218","218","21.68","21.68","21.68","","","","","","","","","","","",""
"2112190","","","","","","","160","160","160","22.308","22.308","22.308","","","","","","","","","","","",""
"2113801","","","","","","","161","161","161","21.962","21.962","21.962","","","","","","","","","","","",""
"2114014","","","","","","","","","","","","","164","164","164","22.063","22.063","22.063","","","","","",""
"2114392","152","152","152","22.116","22.116","22.116","","","","","","","","","","","","","","","","","",""
"2115286","","","","","","","","","","","","","","","","","","","192","192","192","21.987","21.987","21.987"
"2116540","160","160","160","22.067","22.067","22.067","","","","","","","","","","","","","","","","","",""
"2117793","164","164","164","22.096","22.096","22.096","","","","","","","","","","","","","","","","","",""
"2118093","","","","","","","160","160","160","22.119","22.119","22.119","","","","","","","","","","","",""
"2118138","","","","","","","","","","","","","162","162","162","22.013","22.013","22.013","","","","","",""
"2118817","","","","","","","159","159","159","22.223","22.223","22.223","","","","","","","","","","","",""
"2121225","","","","","","","219","219","219","21.816","21.816","21.816","","","","","","","","","","","",""
"2121411","","","","","","","158","158","158","21.932","21.932","21.932","","","","","","","","","","","",""
"2123334","","","","","","","158","158","158","22.228","22.228","22.228","","","","","","","","","","","",""
"2123485","","","","","","","","","","","","","160","160","160","21.782","21.782","21.782","","","","","",""
"2123771","","","","","","","155","155","155","21.992","21.992","21.992","","","","","","","","","","","",""
"2125226","","","","","","","161","161","161","22.02","22.02","22.02","","","","","","","","","","","",""
"2126534","","","","","","","","","","","","","","","","","","","193","193","193","22.013","22.013","22.013"
"2127273","","","","","","","162","162","162","22.155","22.155","22.155","","","","","","","","","","","",""
"2127759","","","","","","","","","","","","","165","165","165","21.966","21.966","21.966","","","","","",""
"2128301","153","153","153","22.137","22.137","22.137","","","","","","","","","","","","","","","","","",""
"2130230","161","161","161","22.149","22.149","22.149","","","","","","","","","","","","","","","","","",""
"2130431","165","165","165","22.066","22.066","22.066","","","","","","","","","","","","","","","","","",""
"2130714","","","","","","","220","220","220","22.088","22.088","22.088","","","","","","","","","","","",""
"2131294","","","","","","","161","161","161","22.43","22.43","22.43","","","","","","","","","","","",""
"2131694","","","","","","","","","","","","","163","163","163","22.308","22.308","22.308","","","","","",""
"2132640","","","","","","","160","160","160","22.379","22.379","22.379","","","","","","","","","","","",""
"2135160","","","","","","","159","159","159","22.172","22.172","22.172","","","","","","","","","","","",""
"2137266","","","","","","","","","","","","","161","161","161","22.219","22.219","22.219","","","","","",""
"2137321","","","","","","","159","159","159","22.145","22.145","22.145","","","","","","","","","","","",""
"2137705","","","","","","","156","156","156","22.045","22.045","22.045","","","","","","","","","","","",""
"2137937","","","","","","","","","","","","","","","","","","","194","194","194","22.28","22.28","22.28"
"2138509","","","","","","","162","162","162","22.073","22.073","22.073","","","","","","","","","","","",""
"2140708","","","","","","","221","221","221","21.902","21.902","21.902","","","","","","","","","","","",""
"2140961","","","","","","","163","163","163","22.18","22.18","22.18","","","","","","","","","","","",""
"2141276","","","","","","","","","","","","","166","166","166","22.112","22.112","22.112","","","","","",""
"2142332","154","154","154","22.41","22.41","22.41","","","","","","","","","","","","","","","","","",""
"2143427","166","166","166","22.355","22.355","22.355","","","","","","","","","","","","","","","","","",""
"2144250","162","162","162","22.253","22.253","22.253","","","","","","","","","","","","","","","","","",""
"2144987","","","","","","","162","162","162","22.009","22.009","22.009","","","","","","","","","","","",""
"2145197","","","","","","","","","","","","","164","164","164","22.048","22.048","22.048","","","","","",""
"2146345","","","","","","","161","161","161","22.049","22.049","22.049","","","","","","","","","","","",""
"2149383","","","","","","","160","160","160","22.257","22.257","22.257","","","","","","","","","","","",""
"2149520","","","","","","","","","","","","","","","","","","","195","195","195","22.003","22.003","22.003"
"2150595","","","","","","","222","222","222","22.065","22.065","22.065","","","","","","","","","","","",""
"2150709","","","","","","","","","","","","","162","162","162","22.151","22.151","22.151","","","","","",""
"2151214","","","","","","","160","160","160","22.15","22.15","22.15","","","","","","","","","","","",""
"2151633","","","","","","","157","157","157","22.185","22.185","22.185","","","","","","","","","","","",""
"2151871","","","","","","","163","163","163","22.266","22.266","22.266","","","","","","","","","","","",""
"2154490","","","","","","","164","164","164","22.12","22.12","22.12","","","","","","","","","","","",""
"2155173","","","","","","","","","","","","","167","167","167","22.243","22.243","22.243","","","","","",""
"2156266","167","167","167","22.194","22.194","22.194","","","","","","","","","","","","","","","","","",""
"2156641","155","155","155","21.955","21.955","21.955","","","","","","","","","","","","","","","","","",""
"2157639","163","163","163","22.154","22.154","22.154","","","","","","","","","","","","","","","","","",""
"2158432","","","","","","","163","163","163","21.946","21.946","21.946","","","","","","","","","","","",""
"2158647","","","","","","","","","","","","","165","165","165","22.148","22.148","22.148","","","","","",""
"2159651","","","","","","","162","162","162","22.258","22.258","22.258","","","","","","","","","","","",""
"2160205","","","","","","","223","223","223","21.792","21.792","21.792","","","","","","","","","","","",""
"2160914","","","","","","","","","","","","","","","","","","","196","196","196","21.853","21.853","21.853"
"2162566","","","","","","","161","161","161","22.022","22.022","22.022","","","","","","","","","","","",""
"2164071","","","","","","","","","","","","","163","163","163","21.931","21.931","21.931","","","","","",""
"2164709","","","","","","","161","161","161","21.977","21.977","21.977","","","","","","","","","","","",""
"2165117","","","","","","","164","164","164","22.243","22.243","22.243","","","","","","","","","","","",""
"2165303","","","","","","","158","158","158","22.294","22.294","22.294","","","","","","","","","","","",""
"2167849","","","","","","","165","165","165","22.173","22.173","22.173","","","","","","","","","","","",""
"2168579","","","","","","","","","","","","","168","168","168","22.262","22.262","22.262","","","","","",""
"2169300","168","168","168","22.287","22.287","22.287","","","","","","","","","","","","","","","","","",""
"2169886","","","","","","","224","224","224","22.118","22.118","22.118","","","","","","","","","","","",""
"2170423","156","156","156","22.199","22.199","22.199","","","","","","","","","","","","","","","","","",""
"2171028","164","164","164","22.203","22.203","22.203","","","","","","","","","","","","","","","","","",""
"2171586","","","","","","","","","","","","","","","","","","","197","197","197","21.891","21.891","21.891"
"2171889","","","","","","","164","164","164","22.267","22.267","22.267","","","","","","","","","","","",""
"2172596","","","","","","","163","163","163","22.4","22.4","22.4","","","","","","","","","","","",""
"2172600","","","","","","","","","","","","","166","166","166","22.504","22.504","22.504","","","","","",""
"2176005","","","","","","","162","162","162","22.164","22.164","22.164","","","","","","","","","","","",""
"2177901","","","","","","","","","","","","","164","164","164","22.044","22.044","22.044","","","","","",""
"2178017","","","","","","","162","162","162","22.226","22.226","22.226","","","","","","","","","","","",""
"2178776","","","","","","","165","165","165","22.288","22.288","22.288","","","","","","","","","","","",""
"2179333","","","","","","","225","225","225","21.864","21.864","21.864","","","","","","","","","","","",""
"2179560","","","","","","","159","159","159","22.109","22.109","22.109","","","","","","","","","","","",""
"2181313","","","","","","","166","166","166","22.35","22.35","22.35","","","","","","","","","","","",""
"2182237","","","","","","","","","","","","","169","169","169","22.234","22.234","22.234","","","","","",""
"2182520","169","169","169","21.915","21.915","21.915","","","","","","","","","","","","","","","","","",""
"2183008","","","","","","","","","","","","","","","","","","","198","198","198","22.099","22.099","22.099"
"2184203","165","165","165","22.113","22.113","22.113","","","","","","","","","","","","","","","","","",""
"2184286","157","157","157","21.836","21.836","21.836","","","","","","","","","","","","","","","","","",""
"2185330","","","","","","","165","165","165","22.044","22.044","22.044","","","","","","","","","","","",""
"2185774","","","","","","","","","","","","","167","167","167","21.953","21.953","21.953","","","","","",""
"2186133","","","","","","","164","164","164","22.285","22.285","22.285","","","","","","","","","","","",""
"2189126","","","","","","","226","226","226","21.776","21.776","21.776","","","","","","","","","","","",""
"2189580","","","","","","","163","163","163","22.155","22.155","22.155","","","","","","","","","","","",""
"2191412","","","","","","","163","163","163","22.267","22.267","22.267","","","","","","","","","","","",""
"2191711","","","","","","","","","","","","","165","165","165","22.202","22.202","22.202","","","","","",""
"2192111","","","","","","","166","166","166","22.113","22.113","22.113","","","","","","","","","","","",""
"2193291","","","","","","","","","","","","","","","","","","","199","199","199","22.162","22.162","22.162"
"2193748","","","","","","","160","160","160","22.058","22.058","22.058","","","","","","","","","","","",""
"2194813","","","","","","","167","167","167","21.981","21.981","21.981","","","","","","","","","","","",""
"2195531","170","170","170","21.958","21.958","21.958","","","","","","","","","","","","","","","","","",""
"2196066","","","","","","","","","","","","","170","170","170","22.201","22.201","22.201","","","","","",""
"2197819","166","166","166","22.304","22.304","22.304","","","","","","","","","","","","","","","","","",""
"2198348","158","158","158","22.265","22.265","22.265","","","","","","","","","","","","","","","","","",""
"2198476","","","","","","","166","166","166","22.292","22.292","22.292","","","","","","","","","","","",""
"2199111","","","","","","","","","","","","","168","168","168","22.311","22.311","22.311","","","","","",""
"2199359","","","","","","","227","227","227","22.065","22.065","22.065","","","","","","","","","","","",""
"2199563","","","","","","","165","165","165","22.187","22.187","22.187","","","","","","","","","","","",""
"2203300","","","","","","","164","164","164","22.015","22.015","22.015","","","","","","","","","","","",""
"2204197","","","","","","","","","","","","","","","","","","","200","200","200","21.998","21.998","21.998"
"2204815","","","","","","","164","164","164","22.356","22.356","22.356","","","","","","","","","","","",""
"2205439","","","","","","","167","167","167","21.987","21.987","21.987","","","","","","","","","","","",""
"2205599","","","","","","","","","","","","","166","166","166","22.352","22.352","22.352","","","","","",""
"2207838","","","","","","","168","168","168","22.402","22.402","22.402","","","","","","","","","","","",""
"2207888","","","","","","","161","161","161","22.033","22.033","22.033","","","","","","","","","","","",""
"2208686","171","171","171","22.209","22.209","22.209","","","","","","","","","","","","","","","","","",""
"2209007","","","","","","","228","228","228","21.891","21.891","21.891","","","","","","","","","","","",""
"2210313","","","","","","","","","","","","","171","171","171","22.365","22.365","22.365","","","","","",""
"2211189","167","167","167","22.318","22.318","22.318","","","","","","","","","","","","","","","","","",""
"2212144","159","159","159","22.306","22.306","22.306","","","","","","","","","","","","","","","","","",""
"2212162","","","","","","","167","167","167","22.272","22.272","22.272","","","","","","","","","","","",""
"2212879","","","","","","","166","166","166","22.156","22.156","22.156","","","","","","","","","","","",""
"2212894","","","","","","","","","","","","","169","169","169","22.137","22.137","22.137","","","","","",""
"2215120","","","","","","","","","","","","","","","","","","","201","201","201","21.824","21.824","21.824"
"2217421","","","","","","","165","165","165","21.88","21.88","21.88","","","","","","","","","","","",""
"2219030","","","","","","","168","168","168","22.386","22.386","22.386","","","","","","","","","","","",""
"2219035","","","","","","","165","165","165","22.33","22.33","22.33","","","","","","","","","","","",""
"2219446","","","","","","","229","229","229","21.992","21.992","21.992","","","","","","","","","","","",""
"2219534","","","","","","","","","","","","","167","167","167","22.264","22.264","22.264","","","","","",""
"2221030","","","","","","","169","169","169","22.267","22.267","22.267","","","","","","","","","","","",""
"2222083","172","172","172","21.987","21.987","21.987","","","","","","","","","","","","","","","","","",""
"2222085","","","","","","","162","162","162","22.261","22.261","22.261","","","","","","","","","","","",""
"2223833","","","","","","","","","","","","","172","172","172","22.272","22.272","22.272","","","","","",""
"2224348","168","168","168","22.349","22.349","22.349","","","","","","","","","","","","","","","","","",""
"2225758","160","160","160","22.24","22.24","22.24","","","","","","","","","","","","","","","","","",""
"2225892","","","","","","","168","168","168","21.949","21.949","21.949","","","","","","","","","","","",""
"2226169","","","","","","","167","167","167","22.132","22.132","22.132","","","","","","","","","","","",""
"2226265","","","","","","","","","","","","","170","170","170","22.207","22.207","22.207","","","","","",""
"2226416","","","","","","","","","","","","","","","","","","","202","202","202","22.286","22.286","22.286"
"2229211","","","","","","","230","230","230","22.312","22.312","22.312","","","","","","","","","","","",""
"2231227","","","","","","","166","166","166","22.293","22.293","22.293","","","","","","","","","","","",""
"2231876","","","","","","","169","169","169","22.248","22.248","22.248","","","","","","","","","","","",""
"2233123","","","","","","","166","166","166","22.12","22.12","22.12","","","","","","","","","","","",""
"2233211","","","","","","","","","","","","","168","168","168","22.071","22.071","22.071","","","","","",""
"2234262","","","","","","","170","170","170","22.103","22.103","22.103","","","","","","","","","","","",""
"2235160","173","173","173","22.141","22.141","22.141","","","","","","","","","","","","","","","","","",""
"2236087","","","","","","","163","163","163","22.061","22.061","22.061","","","","","","","","","","","",""
"2237641","","","","","","","","","","","","","173","173","173","22.327","22.327","22.327","","","","","",""
"2237952","169","169","169","22.238","22.238","22.238","","","","","","","","","","","","","","","","","",""
"2238183","","","","","","","","","","","","","","","","","","","203","203","203","22.029","22.029","22.029"
"2239133","","","","","","","231","231","231","22.065","22.065","22.065","","","","","","","","","","","",""
"2239277","161","161","161","21.956","21.956","21.956","","","","","","","","","","","","","","","","","",""
"2239448","","","","","","","169","169","169","21.934","21.934","21.934","","","","","","","","","","","",""
"2239498","","","","","","","168","168","168","22.01","22.01","22.01","","","","","","","","","","","",""
"2239857","","","","","","","","","","","","","171","171","171","22.407","22.407","22.407","","","","","",""
"2244921","","","","","","","167","167","167","22.187","22.187","22.187","","","","","","","","","","","",""
"2245247","","","","","","","170","170","170","22.243","22.243","22.243","","","","","","","","","","","",""
"2246693","","","","","","","","","","","","","169","169","169","22.453","22.453","22.453","","","","","",""
"2247173","","","","","","","167","167","167","22.156","22.156","22.156","","","","","","","","","","","",""
"2247721","","","","","","","171","171","171","22.339","22.339","22.339","","","","","","","","","","","",""
"2248269","174","174","174","22.292","22.292","22.292","","","","","","","","","","","","","","","","","",""
"2248952","","","","","","","232","232","232","21.705","21.705","21.705","","","","","","","","","","","",""
"2249057","","","","","","","","","","","","","","","","","","","204","204","204","22.235","22.235","22.235"
"2250457","","","","","","","164","164","164","22.281","22.281","22.281","","","","","","","","","","","",""
"2251142","170","170","170","22.168","22.168","22.168","","","","","","","","","","","","","","","","","",""
"2251691","","","","","","","","","","","","","174","174","174","22.306","22.306","22.306","","","","","",""
"2253050","162","162","162","22.282","22.282","22.282","","","","","","","","","","","","","","","","","",""
"2253080","","","","","","","","","","","","","172","172","172","22.131","22.131","22.131","","","","","",""
"2253301","","","","","","","170","170","170","21.987","21.987","21.987","","","","","","","","","","","",""
"2253722","","","","","","","169","169","169","22.652","22.652","22.652","","","","","","","","","","","",""
"2258562","","","","","","","233","233","233","22.115","22.115","22.115","","","","","","","","","","","",""
"2258761","","","","","","","171","171","171","22.22","22.22","22.22","","","","","","","","","","","",""
"2258842","","","","","","","168","168","168","21.989","21.989","21.989","","","","","","","","","","","",""
"2259454","","","","","","","","","","","","","","","","","","","205","205","205","21.924","21.924","21.924"
"2260386","","","","","","","","","","","","","170","170","170","22.026","22.026","22.026","","","","","",""
"2260733","","","","","","","168","168","168","22.317","22.317","22.317","","","","","","","","","","","",""
"2260993","175","175","175","22.412","22.412","22.412","","","","","","","","","","","","","","","","","",""
"2261198","","","","","","","172","172","172","22.389","22.389","22.389","","","","","","","","","","","",""
"2263867","","","","","","","165","165","165","22.39","22.39","22.39","","","","","","","","","","","",""
"2264100","171","171","171","22.173","22.173","22.173","","","","","","","","","","","","","","","","","",""
"2265267","","","","","","","","","","","","","175","175","175","22.223","22.223","22.223","","","","","",""
"2266572","","","","","","","","","","","","","173","173","173","22.355","22.355","22.355","","","","","",""
"2266798","","","","","","","171","171","171","22.081","22.081","22.081","","","","","","","","","","","",""
"2267065","163","163","163","22.282","22.282","22.282","","","","","","","","","","","","","","","","","",""
"2267395","","","","","","","170","170","170","22.154","22.154","22.154","","","","","","","","","","","",""
"2268749","","","","","","","234","234","234","22.088","22.088","22.088","","","","","","","","","","","",""
"2270053","","","","","","","","","","","","","","","","","","","206","206","206","22.124","22.124","22.124"
"2272390","","","","","","","169","169","169","22.512","22.512","22.512","","","","","","","","","","","",""
"2272394","","","","","","","172","172","172","22.163","22.163","22.163","","","","","","","","","","","",""
"2273864","176","176","176","21.824","21.824","21.824","","","","","","","","","","","","","","","","","",""
"2274100","","","","","","","173","173","173","21.947","21.947","21.947","","","","","","","","","","","",""
"2274160","","","","","","","","","","","","","171","171","171","22.078","22.078","22.078","","","","","",""
"2274405","","","","","","","169","169","169","22.411","22.411","22.411","","","","","","","","","","","",""
"2277799","","","","","","","166","166","166","22.424","22.424","22.424","","","","","","","","","","","",""
"2278079","172","172","172","22.103","22.103","22.103","","","","","","","","","","","","","","","","","",""
"2278703","","","","","","","235","235","235","21.93","21.93","21.93","","","","","","","","","","","",""
"2278959","","","","","","","","","","","","","176","176","176","22.401","22.401","22.401","","","","","",""
