"num_samples","batchsize: 8 (Batchsize: partner: IQL) - _step","batchsize: 8 (Batchsize: partner: IQL) - _step__MIN","batchsize: 8 (Batchsize: partner: IQL) - _step__MAX","batchsize: 8 (Batchsize: partner: IQL) - score","batchsize: 8 (Batchsize: partner: IQL) - score__MIN","batchsize: 8 (Batchsize: partner: IQL) - score__MAX","batchsize: 16 (Batchsize: partner: IQL) - _step","batchsize: 16 (Batchsize: partner: IQL) - _step__MIN","batchsize: 16 (Batchsize: partner: IQL) - _step__MAX","batchsize: 16 (Batchsize: partner: IQL) - score","batchsize: 16 (Batchsize: partner: IQL) - score__MIN","batchsize: 16 (Batchsize: partner: IQL) - score__MAX","batchsize: 32 (Batchsize: partner: IQL) - _step","batchsize: 32 (Batchsize: partner: IQL) - _step__MIN","batchsize: 32 (Batchsize: partner: IQL) - _step__MAX","batchsize: 32 (Batchsize: partner: IQL) - score","batchsize: 32 (Batchsize: partner: IQL) - score__MIN","batchsize: 32 (Batchsize: partner: IQL) - score__MAX","batchsize: 64 (Batchsize: partner: IQL) - _step","batchsize: 64 (Batchsize: partner: IQL) - _step__MIN","batchsize: 64 (Batchsize: partner: IQL) - _step__MAX","batchsize: 64 (Batchsize: partner: IQL) - score","batchsize: 64 (Batchsize: partner: IQL) - score__MIN","batchsize: 64 (Batchsize: partner: IQL) - score__MAX","batchsize: 128 (Batchsize: partner: IQL) - _step","batchsize: 128 (Batchsize: partner: IQL) - _step__MIN","batchsize: 128 (Batchsize: partner: IQL) - _step__MAX","batchsize: 128 (Batchsize: partner: IQL) - score","batchsize: 128 (Batchsize: partner: IQL) - score__MIN","batchsize: 128 (Batchsize: partner: IQL) - score__MAX","batchsize: 256 (Batchsize: partner: IQL) - _step","batchsize: 256 (Batchsize: partner: IQL) - _step__MIN","batchsize: 256 (Batchsize: partner: IQL) - _step__MAX","batchsize: 256 (Batchsize: partner: IQL) - score","batchsize: 256 (Batchsize: partner: IQL) - score__MIN","batchsize: 256 (Batchsize: partner: IQL) - score__MAX","batchsize: 512 (Batchsize: partner: IQL) - _step","batchsize: 512 (Batchsize: partner: IQL) - _step__MIN","batchsize: 512 (Batchsize: partner: IQL) - _step__MAX","batchsize: 512 (Batchsize: partner: IQL) - score","batchsize: 512 (Batchsize: partner: IQL) - score__MIN","batchsize: 512 (Batchsize: partner: IQL) - score__MAX","batchsize: 1024 (Batchsize: partner: IQL) - _step","batchsize: 1024 (Batchsize: partner: IQL) - _step__MIN","batchsize: 1024 (Batchsize: partner: IQL) - _step__MAX","batchsize: 1024 (Batchsize: partner: IQL) - score","batchsize: 1024 (Batchsize: partner: IQL) - score__MIN","batchsize: 1024 (Batchsize: partner: IQL) - score__MAX"
"444448","59","59","59","22.065","22.065","22.065","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"444457","","","","","","","","","","","","","","","","","","","39","39","39","22.331","22.331","22.331","","","","","","","","","","","","","","","","","","","","","","","",""
"444519","","","","","","","","","","","","","","","","","","","","","","","","","32","32","32","22.248","22.248","22.248","","","","","","","","","","","","","","","","","",""
"444605","","","","","","","54","54","54","22.32","22.32","22.32","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"444988","61","61","61","22.054","22.054","22.054","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"445301","","","","","","","","","","","","","","","","","","","","","","","","","41","41","41","22.438","22.438","22.438","","","","","","","","","","","","","","","","","",""
"445414","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","22","22","22","22.369","22.369","22.369","","","","","","","","","","","",""
"445655","85","85","85","22.21","22.21","22.21","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"445893","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","15","15","15","22.275","22.275","22.275","","","","","",""
"446100","","","","","","","","","","","","","","","","","","","40","40","40","22.331","22.331","22.331","","","","","","","","","","","","","","","","","","","","","","","",""
"446266","","","","","","","78","78","78","22.322","22.322","22.322","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"446320","","","","","","","","","","","","","46","46","46","22.32","22.32","22.32","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"446504","91","91","91","22.292","22.292","22.292","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"446663","","","","","","","","","","","","","","","","","","","","","","","","","31","31","31","22.446","22.446","22.446","","","","","","","","","","","","","","","","","",""
"447375","","","","","","","","","","","","","","","","","","","","","","","","","32","32","32","22.256","22.256","22.256","","","","","","","","","","","","","","","","","",""
"449282","","","","","","","","","","","","","","","","","","","","","","","","","32","32","32","22.443","22.443","22.443","","","","","","","","","","","","","","","","","",""
"449499","61","61","61","22.23","22.23","22.23","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"449626","","","","","","","","","","","","","46","46","46","22.362","22.362","22.362","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"449757","","","","","","","54","54","54","22.349","22.349","22.349","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"450597","","","","","","","56","56","56","22.191","22.191","22.191","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"450765","86","86","86","22.189","22.189","22.189","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"451191","","","","","","","","","","","","","","","","","","","","","","","","","31","31","31","22.521","22.521","22.521","","","","","","","","","","","","","","","","","",""
"451428","92","92","92","22.284","22.284","22.284","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"451589","","","","","","","","","","","","","","","","","","","","","","","","","32","32","32","22.508","22.508","22.508","","","","","","","","","","","","","","","","","",""
"451844","","","","","","","53","53","53","22.091","22.091","22.091","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"451924","","","","","","","79","79","79","22.378","22.378","22.378","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"452022","60","60","60","22.282","22.282","22.282","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"452293","","","","","","","","","","","","","","","","","","","","","","","","","39","39","39","22.426","22.426","22.426","","","","","","","","","","","","","","","","","",""
"453054","","","","","","","55","55","55","22.264","22.264","22.264","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"453129","62","62","62","22.154","22.154","22.154","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"453290","","","","","","","","","","","","","44","44","44","22.373","22.373","22.373","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"453473","","","","","","","","","","","","","","","","","","","","","","","","","32","32","32","22.307","22.307","22.307","","","","","","","","","","","","","","","","","",""
"453582","","","","","","","","","","","","","","","","","","","41","41","41","22.458","22.458","22.458","","","","","","","","","","","","","","","","","","","","","","","",""
"454031","","","","","","","","","","","","","","","","","","","","","","","","","32","32","32","22.399","22.399","22.399","","","","","","","","","","","","","","","","","",""
"454458","","","","","","","","","","","","","","","","","","","","","","","","","42","42","42","22.543","22.543","22.543","","","","","","","","","","","","","","","","","",""
"454726","","","","","","","","","","","","","","","","","","","","","","","","","40","40","40","22.363","22.363","22.363","","","","","","","","","","","","","","","","","",""
"455687","87","87","87","22.374","22.374","22.374","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"455909","","","","","","","","","","","","","47","47","47","22.316","22.316","22.316","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"455973","","","","","","","","","","","","","","","","","","","","","","","","","33","33","33","22.456","22.456","22.456","","","","","","","","","","","","","","","","","",""
"456137","93","93","93","22.483","22.483","22.483","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"456467","","","","","","","","","","","","","","","","","","","40","40","40","22.282","22.282","22.282","","","","","","","","","","","","","","","","","","","","","","","",""
"456727","62","62","62","22.081","22.081","22.081","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"457177","","","","","","","","","","","","","","","","","","","","","","","","","33","33","33","22.554","22.554","22.554","","","","","","","","","","","","","","","","","",""
"457538","","","","","","","80","80","80","22.615","22.615","22.615","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"457734","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","23","23","23","22.512","22.512","22.512","","","","","","","","","","","",""
"457765","","","","","","","","","","","","","","","","","","","41","41","41","22.385","22.385","22.385","","","","","","","","","","","","","","","","","","","","","","","",""
"458015","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","9","9","9","22.279","22.279","22.279"
"458212","","","","","","","55","55","55","22.077","22.077","22.077","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"459204","","","","","","","","","","","","","","","","","","","","","","","","","33","33","33","22.612","22.612","22.612","","","","","","","","","","","","","","","","","",""
"459327","","","","","","","57","57","57","22.174","22.174","22.174","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"459643","","","","","","","","","","","","","47","47","47","22.363","22.363","22.363","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"459846","61","61","61","22.185","22.185","22.185","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"460357","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","9","9","9","22.208","22.208","22.208"
"460462","","","","","","","54","54","54","22.435","22.435","22.435","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"460640","94","94","94","22.372","22.372","22.372","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"460647","88","88","88","22.353","22.353","22.353","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"461080","63","63","63","22.035","22.035","22.035","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"461734","","","","","","","","","","","","","","","","","","","","","","","","","32","32","32","22.428","22.428","22.428","","","","","","","","","","","","","","","","","",""
"461743","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","23","23","23","22.362","22.362","22.362","","","","","","","","","","","",""
"461986","","","","","","","","","","","","","","","","","","","","","","","","","33","33","33","22.429","22.429","22.429","","","","","","","","","","","","","","","","","",""
"462039","","","","","","","56","56","56","22.051","22.051","22.051","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"462795","","","","","","","81","81","81","22.358","22.358","22.358","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"463526","","","","","","","","","","","","","","","","","","","","","","","","","40","40","40","22.475","22.475","22.475","","","","","","","","","","","","","","","","","",""
"463826","","","","","","","","","","","","","45","45","45","22.304","22.304","22.304","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"463844","","","","","","","","","","","","","","","","","","","","","","","","","33","33","33","22.488","22.488","22.488","","","","","","","","","","","","","","","","","",""
"463885","","","","","","","","","","","","","","","","","","","","","","","","","43","43","43","22.498","22.498","22.498","","","","","","","","","","","","","","","","","",""
"464432","63","63","63","21.945","21.945","21.945","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"464784","","","","","","","","","","","","","","","","","","","","","","","","","41","41","41","22.531","22.531","22.531","","","","","","","","","","","","","","","","","",""
"464923","95","95","95","22.391","22.391","22.391","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"465027","","","","","","","","","","","","","","","","","","","42","42","42","22.521","22.521","22.521","","","","","","","","","","","","","","","","","","","","","","","",""
"465804","89","89","89","22.182","22.182","22.182","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"466015","","","","","","","","","","","","","48","48","48","22.546","22.546","22.546","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"466387","","","","","","","","","","","","","","","","","","","","","","","","","33","33","33","22.546","22.546","22.546","","","","","","","","","","","","","","","","","",""
"466454","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","23","23","23","22.448","22.448","22.448","","","","","","","","","","","",""
"466563","","","","","","","56","56","56","22.14","22.14","22.14","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"466746","","","","","","","","","","","","","","","","","","","","","","","","","32","32","32","22.361","22.361","22.361","","","","","","","","","","","","","","","","","",""
"467850","","","","","","","","","","","","","","","","","","","","","","","","","33","33","33","22.442","22.442","22.442","","","","","","","","","","","","","","","","","",""
"467891","62","62","62","22.159","22.159","22.159","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"467954","","","","","","","58","58","58","22.272","22.272","22.272","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"467966","","","","","","","82","82","82","22.252","22.252","22.252","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"468388","","","","","","","","","","","","","","","","","","","41","41","41","22.438","22.438","22.438","","","","","","","","","","","","","","","","","","","","","","","",""
"468823","","","","","","","","","","","","","","","","","","","","","","","","","33","33","33","22.574","22.574","22.574","","","","","","","","","","","","","","","","","",""
"469052","64","64","64","22.025","22.025","22.025","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"469276","96","96","96","22.422","22.422","22.422","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"469745","","","","","","","55","55","55","22.199","22.199","22.199","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"469835","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","15","15","15","22.169","22.169","22.169","","","","","",""
"469865","","","","","","","","","","","","","","","","","","","42","42","42","22.397","22.397","22.397","","","","","","","","","","","","","","","","","","","","","","","",""
"470031","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","15","15","15","22.441","22.441","22.441","","","","","",""
"470054","","","","","","","","","","","","","48","48","48","22.511","22.511","22.511","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"470501","","","","","","","","","","","","","","","","","","","","","","","","","34","34","34","22.379","22.379","22.379","","","","","","","","","","","","","","","","","",""
"470552","","","","","","","57","57","57","22.193","22.193","22.193","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"470760","90","90","90","22.378","22.378","22.378","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"471527","","","","","","","","","","","","","","","","","","","","","","","","","34","34","34","22.499","22.499","22.499","","","","","","","","","","","","","","","","","",""
"471972","64","64","64","22.206","22.206","22.206","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"472944","","","","","","","","","","","","","","","","","","","","","","","","","44","44","44","22.455","22.455","22.455","","","","","","","","","","","","","","","","","",""
"473473","","","","","","","83","83","83","22.416","22.416","22.416","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"473503","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","16","16","16","22.315","22.315","22.315","","","","","",""
"473707","","","","","","","","","","","","","","","","","","","","","","","","","34","34","34","22.418","22.418","22.418","","","","","","","","","","","","","","","","","",""
"473871","97","97","97","22.315","22.315","22.315","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"474754","","","","","","","","","","","","","","","","","","","","","","","","","41","41","41","22.419","22.419","22.419","","","","","","","","","","","","","","","","","",""
"474860","","","","","","","","","","","","","46","46","46","22.419","22.419","22.419","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"474965","","","","","","","57","57","57","22.168","22.168","22.168","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"475464","91","91","91","22.238","22.238","22.238","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"475866","","","","","","","","","","","","","","","","","","","","","","","","","42","42","42","22.491","22.491","22.491","","","","","","","","","","","","","","","","","",""
"476011","63","63","63","22.157","22.157","22.157","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"476021","","","","","","","59","59","59","22.306","22.306","22.306","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"476242","65","65","65","22.198","22.198","22.198","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"476319","","","","","","","","","","","","","49","49","49","22.431","22.431","22.431","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"476338","","","","","","","","","","","","","","","","","","","","","","","","","34","34","34","22.567","22.567","22.567","","","","","","","","","","","","","","","","","",""
"476548","","","","","","","","","","","","","","","","","","","43","43","43","22.389","22.389","22.389","","","","","","","","","","","","","","","","","","","","","","","",""
"476868","","","","","","","","","","","","","","","","","","","","","","","","","33","33","33","22.465","22.465","22.465","","","","","","","","","","","","","","","","","",""
"478281","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","24","24","24","22.455","22.455","22.455","","","","","","","","","","","",""
"478447","","","","","","","56","56","56","22.127","22.127","22.127","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"478593","98","98","98","22.353","22.353","22.353","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"478622","","","","","","","","","","","","","","","","","","","","","","","","","34","34","34","22.447","22.447","22.447","","","","","","","","","","","","","","","","","",""
"478895","","","","","","","84","84","84","22.576","22.576","22.576","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"479259","","","","","","","58","58","58","22.3","22.3","22.3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"479576","65","65","65","22.122","22.122","22.122","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"479820","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","11","11","11","22.408","22.408","22.408"
"480312","","","","","","","","","","","","","","","","","","","42","42","42","22.561","22.561","22.561","","","","","","","","","","","","","","","","","","","","","","","",""
"480676","92","92","92","22.424","22.424","22.424","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"480722","","","","","","","","","","","","","49","49","49","22.407","22.407","22.407","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"481285","","","","","","","","","","","","","","","","","","","","","","","","","34","34","34","22.495","22.495","22.495","","","","","","","","","","","","","","","","","",""
"481712","","","","","","","","","","","","","","","","","","","43","43","43","22.283","22.283","22.283","","","","","","","","","","","","","","","","","","","","","","","",""
"481741","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","24","24","24","22.324","22.324","22.324","","","","","","","","","","","",""
"481811","","","","","","","","","","","","","","","","","","","","","","","","","45","45","45","22.509","22.509","22.509","","","","","","","","","","","","","","","","","",""
"482127","","","","","","","","","","","","","","","","","","","","","","","","","33","33","33","22.433","22.433","22.433","","","","","","","","","","","","","","","","","",""
"482507","","","","","","","","","","","","","","","","","","","","","","","","","34","34","34","22.577","22.577","22.577","","","","","","","","","","","","","","","","","",""
"482782","99","99","99","22.384","22.384","22.384","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"483167","","","","","","","","","","","","","","","","","","","","","","","","","34","34","34","22.577","22.577","22.577","","","","","","","","","","","","","","","","","",""
"483930","64","64","64","22.322","22.322","22.322","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"483934","","","","","","","85","85","85","22.245","22.245","22.245","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"483962","","","","","","","58","58","58","22.428","22.428","22.428","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"484227","66","66","66","22.21","22.21","22.21","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"484347","","","","","","","60","60","60","22.461","22.461","22.461","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"484532","","","","","","","","","","","","","","","","","","","","","","","","","35","35","35","22.472","22.472","22.472","","","","","","","","","","","","","","","","","",""
"485557","","","","","","","","","","","","","47","47","47","22.482","22.482","22.482","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"485773","93","93","93","22.505","22.505","22.505","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"485827","","","","","","","","","","","","","","","","","","","","","","","","","35","35","35","22.374","22.374","22.374","","","","","","","","","","","","","","","","","",""
"486167","","","","","","","","","","","","","","","","","","","","","","","","","42","42","42","22.5","22.5","22.5","","","","","","","","","","","","","","","","","",""
"486877","","","","","","","","","","","","","","","","","","","","","","","","","43","43","43","22.319","22.319","22.319","","","","","","","","","","","","","","","","","",""
"486920","","","","","","","","","","","","","50","50","50","22.467","22.467","22.467","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"486945","","","","","","","57","57","57","22.266","22.266","22.266","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"487573","100","100","100","22.47","22.47","22.47","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"487741","","","","","","","59","59","59","22.258","22.258","22.258","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"487757","66","66","66","22.099","22.099","22.099","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"488212","","","","","","","","","","","","","","","","","","","44","44","44","22.453","22.453","22.453","","","","","","","","","","","","","","","","","","","","","","","",""
"488425","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","24","24","24","22.455","22.455","22.455","","","","","","","","","","","",""
"488438","","","","","","","","","","","","","","","","","","","","","","","","","35","35","35","22.335","22.335","22.335","","","","","","","","","","","","","","","","","",""
"489659","","","","","","","86","86","86","22.322","22.322","22.322","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"490696","","","","","","","","","","","","","50","50","50","22.473","22.473","22.473","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"490790","","","","","","","","","","","","","","","","","","","","","","","","","35","35","35","22.372","22.372","22.372","","","","","","","","","","","","","","","","","",""
"490946","94","94","94","22.171","22.171","22.171","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"491402","65","65","65","22.07","22.07","22.07","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"492053","67","67","67","22.254","22.254","22.254","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"492126","","","","","","","","","","","","","","","","","","","","","","","","","34","34","34","22.665","22.665","22.665","","","","","","","","","","","","","","","","","",""
"492145","","","","","","","","","","","","","","","","","","","43","43","43","22.463","22.463","22.463","","","","","","","","","","","","","","","","","","","","","","","",""
"492347","","","","","","","59","59","59","22.217","22.217","22.217","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"492485","101","101","101","22.424","22.424","22.424","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"493148","","","","","","","","","","","","","","","","","","","","","","","","","35","35","35","22.464","22.464","22.464","","","","","","","","","","","","","","","","","",""
"493246","","","","","","","","","","","","","","","","","","","44","44","44","22.607","22.607","22.607","","","","","","","","","","","","","","","","","","","","","","","",""
"493354","","","","","","","61","61","61","22.346","22.346","22.346","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"493876","","","","","","","","","","","","","","","","","","","","","","","","","46","46","46","22.457","22.457","22.457","","","","","","","","","","","","","","","","","",""
"495082","","","","","","","87","87","87","22.318","22.318","22.318","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"495135","67","67","67","22.162","22.162","22.162","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"495708","","","","","","","","","","","","","48","48","48","22.622","22.622","22.622","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"495709","95","95","95","22.313","22.313","22.313","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"495950","","","","","","","58","58","58","22.244","22.244","22.244","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"496271","","","","","","","","","","","","","","","","","","","","","","","","","35","35","35","22.449","22.449","22.449","","","","","","","","","","","","","","","","","",""
"496424","","","","","","","60","60","60","22.427","22.427","22.427","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"496919","","","","","","","","","","","","","51","51","51","22.414","22.414","22.414","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"496942","","","","","","","","","","","","","","","","","","","","","","","","","35","35","35","22.41","22.41","22.41","","","","","","","","","","","","","","","","","",""
"497233","102","102","102","22.365","22.365","22.365","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"497239","","","","","","","","","","","","","","","","","","","","","","","","","34","34","34","22.464","22.464","22.464","","","","","","","","","","","","","","","","","",""
"497466","","","","","","","","","","","","","","","","","","","","","","","","","43","43","43","22.534","22.534","22.534","","","","","","","","","","","","","","","","","",""
"497706","","","","","","","","","","","","","","","","","","","","","","","","","35","35","35","22.549","22.549","22.549","","","","","","","","","","","","","","","","","",""
"498202","","","","","","","","","","","","","","","","","","","","","","","","","44","44","44","22.468","22.468","22.468","","","","","","","","","","","","","","","","","",""
"499119","","","","","","","","","","","","","","","","","","","","","","","","","36","36","36","22.473","22.473","22.473","","","","","","","","","","","","","","","","","",""
"499293","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","25","25","25","22.513","22.513","22.513","","","","","","","","","","","",""
"499338","66","66","66","22.133","22.133","22.133","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"499470","","","","","","","","","","","","","","","","","","","45","45","45","22.513","22.513","22.513","","","","","","","","","","","","","","","","","","","","","","","",""
"499584","68","68","68","22.113","22.113","22.113","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"500072","","","","","","","","","","","","","","","","","","","","","","","","","36","36","36","22.394","22.394","22.394","","","","","","","","","","","","","","","","","",""
"500206","","","","","","","88","88","88","22.619","22.619","22.619","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"500451","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","17","17","17","22.549","22.549","22.549","","","","","",""
"500748","96","96","96","22.461","22.461","22.461","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"500930","","","","","","","","","","","","","51","51","51","22.356","22.356","22.356","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"501166","","","","","","","60","60","60","22.436","22.436","22.436","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"502068","103","103","103","22.677","22.677","22.677","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"502519","","","","","","","62","62","62","22.379","22.379","22.379","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"502540","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","16","16","16","22.288","22.288","22.288","","","","","",""
"502838","68","68","68","22.15","22.15","22.15","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"502875","","","","","","","","","","","","","","","","","","","","","","","","","36","36","36","22.44","22.44","22.44","","","","","","","","","","","","","","","","","",""
"503257","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","25","25","25","22.497","22.497","22.497","","","","","","","","","","","",""
