"num_samples","lr: 0.00000625 (learning rate: partner IQL) - _step","lr: 0.00000625 (learning rate: partner IQL) - _step__MIN","lr: 0.00000625 (learning rate: partner IQL) - _step__MAX","lr: 0.00000625 (learning rate: partner IQL) - score","lr: 0.00000625 (learning rate: partner IQL) - score__MIN","lr: 0.00000625 (learning rate: partner IQL) - score__MAX","lr: 0.00001 (learning rate: partner IQL) - _step","lr: 0.00001 (learning rate: partner IQL) - _step__MIN","lr: 0.00001 (learning rate: partner IQL) - _step__MAX","lr: 0.00001 (learning rate: partner IQL) - score","lr: 0.00001 (learning rate: partner IQL) - score__MIN","lr: 0.00001 (learning rate: partner IQL) - score__MAX","lr: 0.0000625 (learning rate: partner IQL) - _step","lr: 0.0000625 (learning rate: partner IQL) - _step__MIN","lr: 0.0000625 (learning rate: partner IQL) - _step__MAX","lr: 0.0000625 (learning rate: partner IQL) - score","lr: 0.0000625 (learning rate: partner IQL) - score__MIN","lr: 0.0000625 (learning rate: partner IQL) - score__MAX","lr: 0.0001 (learning rate: partner IQL) - _step","lr: 0.0001 (learning rate: partner IQL) - _step__MIN","lr: 0.0001 (learning rate: partner IQL) - _step__MAX","lr: 0.0001 (learning rate: partner IQL) - score","lr: 0.0001 (learning rate: partner IQL) - score__MIN","lr: 0.0001 (learning rate: partner IQL) - score__MAX","lr: 0.000625 (learning rate: partner IQL) - _step","lr: 0.000625 (learning rate: partner IQL) - _step__MIN","lr: 0.000625 (learning rate: partner IQL) - _step__MAX","lr: 0.000625 (learning rate: partner IQL) - score","lr: 0.000625 (learning rate: partner IQL) - score__MIN","lr: 0.000625 (learning rate: partner IQL) - score__MAX","lr: 0.001 (learning rate: partner IQL) - _step","lr: 0.001 (learning rate: partner IQL) - _step__MIN","lr: 0.001 (learning rate: partner IQL) - _step__MAX","lr: 0.001 (learning rate: partner IQL) - score","lr: 0.001 (learning rate: partner IQL) - score__MIN","lr: 0.001 (learning rate: partner IQL) - score__MAX"
"1613380","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","32","32","32","22.25","22.25","22.25"
"1615710","","","","","","","","","","","","","","","","","","","","","","","","","33","33","33","22.727","22.727","22.727","","","","","",""
"1618244","","","","","","","","","","","","","37","37","37","22.706","22.706","22.706","","","","","","","","","","","","","","","","","",""
"1618845","","","","","","","","","","","","","","","","","","","","","","","","","36","36","36","22.871","22.871","22.871","","","","","",""
"1620666","36","36","36","21.515","21.515","21.515","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1623714","","","","","","","30","30","30","21.931","21.931","21.931","","","","","","","","","","","","","","","","","","","","","","","",""
"1625513","35","35","35","21.382","21.382","21.382","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1626568","","","","","","","55","55","55","22.181","22.181","22.181","","","","","","","","","","","","","","","","","","","","","","","",""
"1627057","","","","","","","33","33","33","21.865","21.865","21.865","","","","","","","","","","","","","","","","","","","","","","","",""
"1627378","","","","","","","","","","","","","","","","","","","","","","","","","37","37","37","22.852","22.852","22.852","","","","","",""
"1636733","","","","","","","","","","","","","","","","","","","38","38","38","22.921","22.921","22.921","","","","","","","","","","","",""
"1637226","","","","","","","","","","","","","","","","","","","56","56","56","23.016","23.016","23.016","","","","","","","","","","","",""
"1639301","","","","","","","","","","","","","","","","","","","36","36","36","22.846","22.846","22.846","","","","","","","","","","","",""
"1643707","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","37","37","37","22.195","22.195","22.195"
"1646952","34","34","34","21.719","21.719","21.719","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1647370","","","","","","","","","","","","","41","41","41","23.057","23.057","23.057","","","","","","","","","","","","","","","","","",""
"1649641","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","36","36","36","22.135","22.135","22.135"
"1655483","","","","","","","56","56","56","22.32","22.32","22.32","","","","","","","","","","","","","","","","","","","","","","","",""
"1657641","","","","","","","","","","","","","37","37","37","22.91","22.91","22.91","","","","","","","","","","","","","","","","","",""
"1657926","","","","","","","","","","","","","36","36","36","22.799","22.799","22.799","","","","","","","","","","","","","","","","","",""
"1662346","","","","","","","","","","","","","","","","","","","","","","","","","37","37","37","22.605","22.605","22.605","","","","","",""
"1663097","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","33","33","33","22.472","22.472","22.472"
"1663689","","","","","","","","","","","","","38","38","38","22.768","22.768","22.768","","","","","","","","","","","","","","","","","",""
"1664804","","","","","","","","","","","","","","","","","","","57","57","57","23.048","23.048","23.048","","","","","","","","","","","",""
"1664981","37","37","37","21.405","21.405","21.405","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1665644","","","","","","","","","","","","","","","","","","","","","","","","","34","34","34","22.771","22.771","22.771","","","","","",""
"1671133","","","","","","","","","","","","","","","","","","","","","","","","","38","38","38","22.704","22.704","22.704","","","","","",""
"1673528","36","36","36","21.448","21.448","21.448","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1674699","","","","","","","34","34","34","21.904","21.904","21.904","","","","","","","","","","","","","","","","","","","","","","","",""
"1677196","","","","","","","31","31","31","21.97","21.97","21.97","","","","","","","","","","","","","","","","","","","","","","","",""
"1679181","","","","","","","","","","","","","","","","","","","39","39","39","23.037","23.037","23.037","","","","","","","","","","","",""
"1684427","","","","","","","57","57","57","22.261","22.261","22.261","","","","","","","","","","","","","","","","","","","","","","","",""
"1686284","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","38","38","38","22.472","22.472","22.472"
"1686437","","","","","","","","","","","","","","","","","","","37","37","37","22.945","22.945","22.945","","","","","","","","","","","",""
"1688404","","","","","","","","","","","","","42","42","42","22.972","22.972","22.972","","","","","","","","","","","","","","","","","",""
"1693013","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","37","37","37","22.815","22.815","22.815"
"1694609","","","","","","","","","","","","","","","","","","","58","58","58","22.984","22.984","22.984","","","","","","","","","","","",""
"1694703","35","35","35","21.356","21.356","21.356","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1701057","","","","","","","","","","","","","37","37","37","22.672","22.672","22.672","","","","","","","","","","","","","","","","","",""
"1701876","","","","","","","","","","","","","38","38","38","23","23","23","","","","","","","","","","","","","","","","","",""
"1706252","","","","","","","","","","","","","","","","","","","","","","","","","38","38","38","22.704","22.704","22.704","","","","","",""
"1709798","","","","","","","","","","","","","39","39","39","22.991","22.991","22.991","","","","","","","","","","","","","","","","","",""
"1709880","38","38","38","21.491","21.491","21.491","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1710384","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","34","34","34","22.923","22.923","22.923"
"1710503","","","","","","","58","58","58","22.314","22.314","22.314","","","","","","","","","","","","","","","","","","","","","","","",""
"1714940","","","","","","","","","","","","","","","","","","","","","","","","","39","39","39","22.913","22.913","22.913","","","","","",""
"1716031","","","","","","","","","","","","","","","","","","","","","","","","","35","35","35","22.525","22.525","22.525","","","","","",""
"1719678","37","37","37","21.61","21.61","21.61","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1720673","","","","","","","35","35","35","21.704","21.704","21.704","","","","","","","","","","","","","","","","","","","","","","","",""
"1722816","","","","","","","","","","","","","","","","","","","40","40","40","22.917","22.917","22.917","","","","","","","","","","","",""
"1724185","","","","","","","","","","","","","","","","","","","59","59","59","23.021","23.021","23.021","","","","","","","","","","","",""
"1729748","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","39","39","39","22.835","22.835","22.835"
"1729780","","","","","","","","","","","","","43","43","43","22.957","22.957","22.957","","","","","","","","","","","","","","","","","",""
"1730322","","","","","","","32","32","32","21.703","21.703","21.703","","","","","","","","","","","","","","","","","","","","","","","",""
"1731921","","","","","","","","","","","","","","","","","","","38","38","38","22.986","22.986","22.986","","","","","","","","","","","",""
"1736266","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","38","38","38","22.381","22.381","22.381"
"1738618","","","","","","","59","59","59","22.187","22.187","22.187","","","","","","","","","","","","","","","","","","","","","","","",""
"1745113","","","","","","","","","","","","","39","39","39","22.892","22.892","22.892","","","","","","","","","","","","","","","","","",""
"1745176","36","36","36","21.558","21.558","21.558","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1746836","","","","","","","","","","","","","38","38","38","22.847","22.847","22.847","","","","","","","","","","","","","","","","","",""
"1751089","","","","","","","","","","","","","","","","","","","","","","","","","39","39","39","22.802","22.802","22.802","","","","","",""
"1751668","","","","","","","","","","","","","","","","","","","60","60","60","23.07","23.07","23.07","","","","","","","","","","","",""
"1752144","","","","","","","","","","","","","40","40","40","22.847","22.847","22.847","","","","","","","","","","","","","","","","","",""
"1752807","39","39","39","21.727","21.727","21.727","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1760339","","","","","","","","","","","","","","","","","","","","","","","","","40","40","40","22.796","22.796","22.796","","","","","",""
"1761247","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","35","35","35","22.875","22.875","22.875"
"1763025","","","","","","","","","","","","","","","","","","","","","","","","","36","36","36","22.761","22.761","22.761","","","","","",""
"1764979","38","38","38","21.563","21.563","21.563","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1766691","","","","","","","","","","","","","","","","","","","41","41","41","23.095","23.095","23.095","","","","","","","","","","","",""
"1766772","","","","","","","60","60","60","22.42","22.42","22.42","","","","","","","","","","","","","","","","","","","","","","","",""
"1766846","","","","","","","36","36","36","21.985","21.985","21.985","","","","","","","","","","","","","","","","","","","","","","","",""
"1769946","","","","","","","","","","","","","44","44","44","22.913","22.913","22.913","","","","","","","","","","","","","","","","","",""
"1773146","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","40","40","40","22.685","22.685","22.685"
"1777467","","","","","","","","","","","","","","","","","","","39","39","39","23.042","23.042","23.042","","","","","","","","","","","",""
"1778199","","","","","","","","","","","","","","","","","","","61","61","61","23.114","23.114","23.114","","","","","","","","","","","",""
"1780958","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","39","39","39","22.778","22.778","22.778"
"1781989","","","","","","","33","33","33","21.864","21.864","21.864","","","","","","","","","","","","","","","","","","","","","","","",""
"1790109","","","","","","","","","","","","","40","40","40","22.896","22.896","22.896","","","","","","","","","","","","","","","","","",""
"1790730","","","","","","","","","","","","","39","39","39","23.018","23.018","23.018","","","","","","","","","","","","","","","","","",""
"1793532","37","37","37","21.355","21.355","21.355","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1794922","","","","","","","61","61","61","22.461","22.461","22.461","","","","","","","","","","","","","","","","","","","","","","","",""
"1795059","","","","","","","","","","","","","","","","","","","","","","","","","40","40","40","22.623","22.623","22.623","","","","","",""
"1798065","40","40","40","21.509","21.509","21.509","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1798304","","","","","","","","","","","","","41","41","41","22.854","22.854","22.854","","","","","","","","","","","","","","","","","",""
"1804427","","","","","","","","","","","","","","","","","","","","","","","","","41","41","41","23.016","23.016","23.016","","","","","",""
"1804796","","","","","","","","","","","","","","","","","","","62","62","62","22.968","22.968","22.968","","","","","","","","","","","",""
"1809543","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","36","36","36","22.337","22.337","22.337"
"1810211","","","","","","","","","","","","","","","","","","","42","42","42","22.945","22.945","22.945","","","","","","","","","","","",""
"1811226","","","","","","","","","","","","","45","45","45","22.87","22.87","22.87","","","","","","","","","","","","","","","","","",""
"1812268","","","","","","","","","","","","","","","","","","","","","","","","","37","37","37","22.804","22.804","22.804","","","","","",""
"1812573","39","39","39","21.769","21.769","21.769","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1814635","","","","","","","37","37","37","21.741","21.741","21.741","","","","","","","","","","","","","","","","","","","","","","","",""
"1816808","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","41","41","41","22.952","22.952","22.952"
"1823278","","","","","","","","","","","","","","","","","","","40","40","40","22.938","22.938","22.938","","","","","","","","","","","",""
"1824233","","","","","","","62","62","62","22.401","22.401","22.401","","","","","","","","","","","","","","","","","","","","","","","",""
"1825556","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","40","40","40","22.417","22.417","22.417"
"1832310","","","","","","","","","","","","","","","","","","","63","63","63","23.213","23.213","23.213","","","","","","","","","","","",""
"1834817","","","","","","","","","","","","","41","41","41","23.027","23.027","23.027","","","","","","","","","","","","","","","","","",""
"1835561","","","","","","","34","34","34","22.138","22.138","22.138","","","","","","","","","","","","","","","","","","","","","","","",""
"1835968","","","","","","","","","","","","","40","40","40","22.889","22.889","22.889","","","","","","","","","","","","","","","","","",""
"1839582","","","","","","","","","","","","","","","","","","","","","","","","","41","41","41","22.557","22.557","22.557","","","","","",""
"1841496","38","38","38","21.486","21.486","21.486","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1843061","41","41","41","21.718","21.718","21.718","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1845528","","","","","","","","","","","","","42","42","42","22.991","22.991","22.991","","","","","","","","","","","","","","","","","",""
"1847952","","","","","","","","","","","","","","","","","","","","","","","","","42","42","42","22.896","22.896","22.896","","","","","",""
"1850482","","","","","","","63","63","63","22.321","22.321","22.321","","","","","","","","","","","","","","","","","","","","","","","",""
"1851455","","","","","","","","","","","","","46","46","46","22.837","22.837","22.837","","","","","","","","","","","","","","","","","",""
"1852078","","","","","","","","","","","","","","","","","","","43","43","43","22.906","22.906","22.906","","","","","","","","","","","",""
"1855654","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","37","37","37","22.656","22.656","22.656"
"1858589","40","40","40","21.689","21.689","21.689","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1860570","","","","","","","","","","","","","","","","","","","","","","","","","38","38","38","22.69","22.69","22.69","","","","","",""
"1861385","","","","","","","38","38","38","21.992","21.992","21.992","","","","","","","","","","","","","","","","","","","","","","","",""
"1861497","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","42","42","42","22.787","22.787","22.787"
"1863538","","","","","","","","","","","","","","","","","","","64","64","64","23.133","23.133","23.133","","","","","","","","","","","",""
"1870122","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","41","41","41","22.827","22.827","22.827"
"1870622","","","","","","","","","","","","","","","","","","","41","41","41","23.057","23.057","23.057","","","","","","","","","","","",""
"1878012","","","","","","","64","64","64","22.513","22.513","22.513","","","","","","","","","","","","","","","","","","","","","","","",""
"1879750","","","","","","","","","","","","","42","42","42","22.915","22.915","22.915","","","","","","","","","","","","","","","","","",""
"1880126","","","","","","","","","","","","","41","41","41","22.949","22.949","22.949","","","","","","","","","","","","","","","","","",""
"1882753","","","","","","","","","","","","","","","","","","","","","","","","","42","42","42","22.731","22.731","22.731","","","","","",""
"1888364","42","42","42","21.619","21.619","21.619","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1889676","","","","","","","","","","","","","43","43","43","22.948","22.948","22.948","","","","","","","","","","","","","","","","","",""
"1891019","39","39","39","21.675","21.675","21.675","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1891243","","","","","","","","","","","","","47","47","47","23.004","23.004","23.004","","","","","","","","","","","","","","","","","",""
"1892060","","","","","","","","","","","","","","","","","","","65","65","65","23.108","23.108","23.108","","","","","","","","","","","",""
"1892072","","","","","","","","","","","","","","","","","","","","","","","","","43","43","43","22.596","22.596","22.596","","","","","",""
"1893552","","","","","","","35","35","35","21.592","21.592","21.592","","","","","","","","","","","","","","","","","","","","","","","",""
"1896364","","","","","","","","","","","","","","","","","","","44","44","44","22.999","22.999","22.999","","","","","","","","","","","",""
"1903116","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","43","43","43","21.316","21.316","21.316"
"1904603","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","38","38","38","22.607","22.607","22.607"
"1904649","41","41","41","21.464","21.464","21.464","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1905463","","","","","","","65","65","65","22.364","22.364","22.364","","","","","","","","","","","","","","","","","","","","","","","",""
"1908577","","","","","","","","","","","","","","","","","","","","","","","","","39","39","39","22.872","22.872","22.872","","","","","",""
"1909008","","","","","","","39","39","39","22.05","22.05","22.05","","","","","","","","","","","","","","","","","","","","","","","",""
"1913174","","","","","","","","","","","","","","","","","","","42","42","42","23.034","23.034","23.034","","","","","","","","","","","",""
"1916334","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","42","42","42","22.811","22.811","22.811"
"1919308","","","","","","","","","","","","","","","","","","","66","66","66","22.999","22.999","22.999","","","","","","","","","","","",""
"1924450","","","","","","","","","","","","","42","42","42","22.781","22.781","22.781","","","","","","","","","","","","","","","","","",""
"1924583","","","","","","","","","","","","","43","43","43","22.865","22.865","22.865","","","","","","","","","","","","","","","","","",""
"1928027","","","","","","","","","","","","","","","","","","","","","","","","","43","43","43","22.871","22.871","22.871","","","","","",""
"1930835","43","43","43","21.739","21.739","21.739","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1932228","","","","","","","","","","","","","48","48","48","23.142","23.142","23.142","","","","","","","","","","","","","","","","","",""
"1933928","","","","","","","66","66","66","22.464","22.464","22.464","","","","","","","","","","","","","","","","","","","","","","","",""
"1934171","","","","","","","","","","","","","44","44","44","22.925","22.925","22.925","","","","","","","","","","","","","","","","","",""
"1936676","","","","","","","","","","","","","","","","","","","","","","","","","44","44","44","23.116","23.116","23.116","","","","","",""
"1938394","","","","","","","","","","","","","","","","","","","45","45","45","23.005","23.005","23.005","","","","","","","","","","","",""
"1941867","40","40","40","21.708","21.708","21.708","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1944123","","","","","","","36","36","36","21.988","21.988","21.988","","","","","","","","","","","","","","","","","","","","","","","",""
"1946114","","","","","","","","","","","","","","","","","","","67","67","67","23.131","23.131","23.131","","","","","","","","","","","",""
"1946332","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","44","44","44","22.506","22.506","22.506"
"1952915","42","42","42","21.737","21.737","21.737","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1954305","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","39","39","39","22.893","22.893","22.893"
"1955712","","","","","","","40","40","40","22.237","22.237","22.237","","","","","","","","","","","","","","","","","","","","","","","",""
"1955947","","","","","","","","","","","","","","","","","","","","","","","","","40","40","40","22.512","22.512","22.512","","","","","",""
"1958452","","","","","","","","","","","","","","","","","","","43","43","43","22.964","22.964","22.964","","","","","","","","","","","",""
"1959125","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","43","43","43","22.884","22.884","22.884"
"1962872","","","","","","","67","67","67","22.376","22.376","22.376","","","","","","","","","","","","","","","","","","","","","","","",""
"1967963","","","","","","","","","","","","","44","44","44","23.059","23.059","23.059","","","","","","","","","","","","","","","","","",""
"1969854","","","","","","","","","","","","","43","43","43","22.911","22.911","22.911","","","","","","","","","","","","","","","","","",""
"1971189","","","","","","","","","","","","","","","","","","","","","","","","","44","44","44","22.27","22.27","22.27","","","","","",""
"1972263","","","","","","","","","","","","","49","49","49","22.994","22.994","22.994","","","","","","","","","","","","","","","","","",""
"1975668","44","44","44","21.856","21.856","21.856","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1977029","","","","","","","","","","","","","","","","","","","68","68","68","22.923","22.923","22.923","","","","","","","","","","","",""
"1979337","","","","","","","","","","","","","45","45","45","23.06","23.06","23.06","","","","","","","","","","","","","","","","","",""
"1980722","","","","","","","","","","","","","","","","","","","","","","","","","45","45","45","22.841","22.841","22.841","","","","","",""
"1981403","","","","","","","","","","","","","","","","","","","46","46","46","23.056","23.056","23.056","","","","","","","","","","","",""
"1988630","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","45","45","45","22.845","22.845","22.845"
"1990257","41","41","41","21.635","21.635","21.635","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1992149","","","","","","","68","68","68","22.446","22.446","22.446","","","","","","","","","","","","","","","","","","","","","","","",""
"1997232","","","","","","","37","37","37","22.052","22.052","22.052","","","","","","","","","","","","","","","","","","","","","","","",""
"1999381","43","43","43","21.805","21.805","21.805","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2002823","","","","","","","41","41","41","22.058","22.058","22.058","","","","","","","","","","","","","","","","","","","","","","","",""
"2003482","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","40","40","40","22.668","22.668","22.668"
"2004534","","","","","","","","","","","","","","","","","","","","","","","","","41","41","41","22.736","22.736","22.736","","","","","",""
"2005205","","","","","","","","","","","","","","","","","","","69","69","69","23.055","23.055","23.055","","","","","","","","","","","",""
"2005787","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","44","44","44","23.007","23.007","23.007"
"2006359","","","","","","","","","","","","","","","","","","","44","44","44","23.064","23.064","23.064","","","","","","","","","","","",""
"2012179","","","","","","","","","","","","","44","44","44","23.085","23.085","23.085","","","","","","","","","","","","","","","","","",""
"2012530","","","","","","","","","","","","","50","50","50","22.994","22.994","22.994","","","","","","","","","","","","","","","","","",""
"2013785","","","","","","","","","","","","","","","","","","","","","","","","","45","45","45","22.485","22.485","22.485","","","","","",""
"2014205","","","","","","","","","","","","","45","45","45","22.929","22.929","22.929","","","","","","","","","","","","","","","","","",""
"2018474","45","45","45","21.831","21.831","21.831","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2019282","","","","","","","69","69","69","22.293","22.293","22.293","","","","","","","","","","","","","","","","","","","","","","","",""
"2024704","","","","","","","","","","","","","46","46","46","22.851","22.851","22.851","","","","","","","","","","","","","","","","","",""
"2026120","","","","","","","","","","","","","","","","","","","47","47","47","23.111","23.111","23.111","","","","","","","","","","","",""
"2027630","","","","","","","","","","","","","","","","","","","","","","","","","46","46","46","22.634","22.634","22.634","","","","","",""
"2031787","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","46","46","46","22.358","22.358","22.358"
"2032850","","","","","","","","","","","","","","","","","","","70","70","70","23.217","23.217","23.217","","","","","","","","","","","",""
"2038520","42","42","42","21.807","21.807","21.807","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2047035","","","","","","","38","38","38","21.964","21.964","21.964","","","","","","","","","","","","","","","","","","","","","","","",""
"2047710","44","44","44","21.725","21.725","21.725","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2048613","","","","","","","70","70","70","22.541","22.541","22.541","","","","","","","","","","","","","","","","","","","","","","","",""
"2049670","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","45","45","45","22.63","22.63","22.63"
"2050048","","","","","","","42","42","42","22.006","22.006","22.006","","","","","","","","","","","","","","","","","","","","","","","",""
"2051630","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","41","41","41","22.631","22.631","22.631"
"2052532","","","","","","","","","","","","","","","","","","","45","45","45","22.949","22.949","22.949","","","","","","","","","","","",""
"2053776","","","","","","","","","","","","","51","51","51","23.043","23.043","23.043","","","","","","","","","","","","","","","","","",""
"2054515","","","","","","","","","","","","","","","","","","","","","","","","","42","42","42","22.809","22.809","22.809","","","","","",""
"2056218","","","","","","","","","","","","","45","45","45","22.967","22.967","22.967","","","","","","","","","","","","","","","","","",""
"2057153","","","","","","","","","","","","","46","46","46","22.945","22.945","22.945","","","","","","","","","","","","","","","","","",""
"2059636","","","","","","","","","","","","","","","","","","","","","","","","","46","46","46","22.814","22.814","22.814","","","","","",""
"2059774","","","","","","","","","","","","","","","","","","","71","71","71","23.104","23.104","23.104","","","","","","","","","","","",""
"2063837","46","46","46","21.551","21.551","21.551","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2068986","","","","","","","","","","","","","47","47","47","22.904","22.904","22.904","","","","","","","","","","","","","","","","","",""
"2069018","","","","","","","","","","","","","","","","","","","48","48","48","22.974","22.974","22.974","","","","","","","","","","","",""
"2074023","","","","","","","","","","","","","","","","","","","","","","","","","47","47","47","22.807","22.807","22.807","","","","","",""
"2075703","","","","","","","71","71","71","22.35","22.35","22.35","","","","","","","","","","","","","","","","","","","","","","","",""
"2075774","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","47","47","47","22.603","22.603","22.603"
"2086603","","","","","","","","","","","","","","","","","","","72","72","72","23.247","23.247","23.247","","","","","","","","","","","",""
"2089998","43","43","43","21.811","21.811","21.811","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2093945","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","46","46","46","22.897","22.897","22.897"
"2094102","45","45","45","21.73","21.73","21.73","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2094542","","","","","","","","","","","","","52","52","52","22.926","22.926","22.926","","","","","","","","","","","","","","","","","",""
"2097127","","","","","","","43","43","43","22.225","22.225","22.225","","","","","","","","","","","","","","","","","","","","","","","",""
"2098127","","","","","","","","","","","","","","","","","","","46","46","46","22.914","22.914","22.914","","","","","","","","","","","",""
"2098576","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","42","42","42","22.598","22.598","22.598"
"2100063","","","","","","","39","39","39","22.008","22.008","22.008","","","","","","","","","","","","","","","","","","","","","","","",""
"2101385","","","","","","","","","","","","","46","46","46","22.933","22.933","22.933","","","","","","","","","","","","","","","","","",""
"2102194","","","","","","","","","","","","","","","","","","","","","","","","","43","43","43","22.675","22.675","22.675","","","","","",""
"2102783","","","","","","","","","","","","","47","47","47","22.969","22.969","22.969","","","","","","","","","","","","","","","","","",""
"2103074","","","","","","","72","72","72","22.608","22.608","22.608","","","","","","","","","","","","","","","","","","","","","","","",""
"2106751","47","47","47","21.948","21.948","21.948","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2107075","","","","","","","","","","","","","","","","","","","","","","","","","47","47","47","22.981","22.981","22.981","","","","","",""
"2112746","","","","","","","","","","","","","","","","","","","73","73","73","23.101","23.101","23.101","","","","","","","","","","","",""
"2112760","","","","","","","","","","","","","","","","","","","49","49","49","23.115","23.115","23.115","","","","","","","","","","","",""
"2114419","","","","","","","","","","","","","48","48","48","23.119","23.119","23.119","","","","","","","","","","","","","","","","","",""
"2118500","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","48","48","48","22.693","22.693","22.693"
"2119654","","","","","","","","","","","","","","","","","","","","","","","","","48","48","48","22.878","22.878","22.878","","","","","",""
"2130851","","","","","","","73","73","73","22.587","22.587","22.587","","","","","","","","","","","","","","","","","","","","","","","",""
"2133977","","","","","","","","","","","","","53","53","53","22.923","22.923","22.923","","","","","","","","","","","","","","","","","",""
"2137738","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","47","47","47","22.641","22.641","22.641"
"2138793","44","44","44","21.71","21.71","21.71","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2140922","","","","","","","","","","","","","","","","","","","74","74","74","23.002","23.002","23.002","","","","","","","","","","","",""
"2141762","46","46","46","21.944","21.944","21.944","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2143464","","","","","","","","","","","","","","","","","","","47","47","47","23.093","23.093","23.093","","","","","","","","","","","",""
"2144266","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","43","43","43","22.581","22.581","22.581"
"2144717","","","","","","","44","44","44","22.153","22.153","22.153","","","","","","","","","","","","","","","","","","","","","","","",""
"2145213","","","","","","","","","","","","","47","47","47","22.995","22.995","22.995","","","","","","","","","","","","","","","","","",""
"2147708","","","","","","","","","","","","","48","48","48","22.97","22.97","22.97","","","","","","","","","","","","","","","","","",""
"2150690","48","48","48","22.085","22.085","22.085","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2151348","","","","","","","","","","","","","","","","","","","","","","","","","48","48","48","22.984","22.984","22.984","","","","","",""
